name_english,name_japanese,anime_manga_titles,favorites
"Ishigami, Yuu",(石上 優),"['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wa Kokurasetai: Shuuchiin Gakuen Nanafushigi']",21795
"Tokisaki, Kurumi",(時崎 狂三),"['Date A Live II: Kurumi Star Festival', 'Date A Bullet: Dead or Bullet', 'Date A Bullet: Nightmare or Queen', 'Date A Live Fragment: Date A Bullet', 'Date A Live', 'Date A Live']",21791
"Freecss, Gon",(ゴン＝フリークス),"['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island', 'Hunter x Hunter']",21679
Power,(パワー),"['Chainsaw Man', 'Chainsaw Man Movie: Reze-hen', 'Chainsaw Man', 'Chainsaw Man: Buddy Stories']",21486
"Nico, Robin",(ニコ・ロビン),"['One Piece', 'One Piece Movie 04: Dead End no Bouken', 'One Piece Movie 05: Norowareta Seiken', 'One Piece', 'Cross Epoch', 'One Piece: Mugiwara Daigekijou']",21412
"Nakano, Miku",(中野 三玖),"['5-toubun no Hanayome', '5-toubun no Hanayome ∬', '5-toubun no Hanayome Movie', '5-toubun no Hanayome', '5-toubun no Hanayome', 'Anime 5-toubun no Hanayome Novelize']",21386
"Trafalgar, Law",(トラファルガー・ロー),"['Tokyo One Piece Tower: Tongari Shima no Dai Hihou', 'One Piece: Dai Tettei Kaibou! Gekitou! 5-nin no Shin Sedai', 'One Piece: Dai Gekisen Tokushuu! Hangeki Doumei vs. Big Mom', 'One Piece Novel: Law', 'One Piece', 'One Piece Party']",20739
"Arlert, Armin",(アルミン・アルレルト),"['Shingeki no Kyojin', 'Shingeki no Kyojin: Ano Hi Kara', 'Shingeki no Kyojin Picture Drama', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",20574
"Satou, Kazuma",(佐藤 和真),"['Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo! 2', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Nichijou wo!']",20215
"Fujiwara, Chika",(藤原 千花),"['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wa Kokurasetai: Shuuchiin Gakuen Nanafushigi']",20102
Vegeta,(ベジータ),"['Dragon Ball Z', 'Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi', 'Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin', 'Dragon Ball', 'Cross Epoch', 'Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!']",20079
"Ayanami, Rei",(綾波 レイ),"['Shinseiki Evangelion', 'Shinseiki Evangelion Movie: Shi to Shinsei', 'Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni', 'Shinseiki Evangelion', 'Shinseiki Evangelion: Koutetsu no Girlfriend 2nd', 'Shinseiki Evangelion: Ikari Shinji Ikusei Keikaku']",19810
Koro-sensei,(殺せんせー),"['Ansatsu Kyoushitsu: Jump Festa 2013 Special', 'Ansatsu Kyoushitsu', 'Ansatsu Kyoushitsu: Deai no Jikan', 'Ansatsu Kyoushitsu', 'Koro-sensei Q!']",19748
"Natsuki, Subaru",(ナツキ・スバル),"['Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Break Time', 'Re:Petit kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen']",19678
"Zoë, Hange",(ハンジ・ゾエ),"['Shingeki no Kyojin OVA', 'Shingeki no Kyojin', 'Shingeki no Kyojin Picture Drama', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Shingeki no Kyojin: Kuinaki Sentaku']",19518
"Gremory, Rias",(リアス・グレモリー),"['High School DxD', 'High School DxD OVA', 'High School DxD Specials', 'High School DxD', 'High School DxD', 'Shin High School DxD']",19483
"Ikari, Shinji",(碇 シンジ),"['Shinseiki Evangelion', 'Shinseiki Evangelion Movie: Shi to Shinsei', 'Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni', 'Shinseiki Evangelion', 'Shinseiki Evangelion: Koutetsu no Girlfriend 2nd', 'Shinseiki Evangelion: Ikari Shinji Ikusei Keikaku']",19476
"Usui, Takumi",(碓氷 拓海),"['Kaichou wa Maid-sama!', 'Kaichou wa Maid-sama!: Omake da yo!', 'Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥', 'Kaichou wa Maid-sama!', 'Kaichou wa Maid-sama!: Marriage']",19178
"Takanashi, Rikka",(小鳥遊 六花),"['Chuunibyou demo Koi ga Shitai!', 'Chuunibyou demo Koi ga Shitai! Lite', 'Chuunibyou demo Koi ga Shitai! Depth of Field: Ai to Nikushimi Gekijou', 'Chuunibyou demo Koi ga Shitai!']",19149
"Scarlet, Erza",(エルザ・スカーレット),"['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko', 'Fairy Tail', 'Fairy Girls', 'Fairy Tail: 100 Years Quest']",19065
